,ID,Title,Director,Release_Year,Original_Lang,Main_Genre,Genres,Runtime,User_Score,Ratings,Budget,Revenue,URL
116,354912,Coco,Lee Unkrich,2017,English,Family,"['Animation', 'Fantasy', 'Music', 'Comedy', 'Adventure']",105,82.0,16509,175000000,800526015,https://www.themoviedb.org/movie/354912-coco
117,185,A Clockwork Orange,Stanley Kubrick,1971,English,ScienceFiction,['Drama'],137,82.0,11094,2200000,26589000,https://www.themoviedb.org/movie/185-a-clockwork-orange
118,1398,Stalker,Andrei Tarkovsky,1979,Russian,ScienceFiction,['Drama'],162,82.0,1667,120000,-,https://www.themoviedb.org/movie/1398-stalker
119,694,The Shining,Stanley Kubrick,1980,English,Horror,['Thriller'],144,82.0,15073,19000000,44781695,https://www.themoviedb.org/movie/694-the-shining
120,37257,Witness for the Prosecution,Billy Wilder,1957,English,Drama,"['Mystery', 'Crime']",116,82.0,1060,3000000,9000000,https://www.themoviedb.org/movie/37257-witness-for-the-prosecution
121,422,8½,Federico Fellini,1963,Italian,Fantasy,['Drama'],139,82.0,1880,-,-,https://www.themoviedb.org/movie/422-8½
122,664767,Mortal Kombat Legends: Scorpion's Revenge,Ethan Spaulding,2020,English,Animation,"['Action', 'Fantasy']",80,82.0,1149,-,-,https://www.themoviedb.org/movie/664767-mortal-kombat-legends:-scorpion-s-revenge
123,490,The Seventh Seal,Ingmar Bergman,1957,Swedish,Fantasy,['Drama'],96,82.0,2455,-,-,https://www.themoviedb.org/movie/490-the-seventh-seal
124,10098,The Kid,Charlie Chaplin,1921,English,Comedy,['Drama'],68,82.0,1679,250000,2500000,https://www.themoviedb.org/movie/10098-the-kid
125,16869,Inglourious Basterds,Quentin Tarantino,2009,English,Drama,"['Action', 'Thriller', 'War']",153,82.0,19425,70000000,321457747,https://www.themoviedb.org/movie/16869-inglourious-basterds
126,426,Vertigo,Alfred Hitchcock,1958,English,Mystery,"['Romance', 'Thriller']",128,82.0,4819,2479000,7797728,https://www.themoviedb.org/movie/426-vertigo
127,11,Star Wars,George Lucas,1977,English,Adventure,"['Action', 'ScienceFiction']",121,82.0,17918,11000000,775398007,https://www.themoviedb.org/movie/11-star-wars
128,470044,The Hate U Give,"George Tillman, Jr.",2018,English,Crime,['Drama'],133,82.0,1843,23000000,34934009,https://www.themoviedb.org/movie/470044-the-hate-u-give
